sample_name,depth_m,reef_zone,month,response,bleaching_status
10NBOb2,1,backreef,October,unknown,healthy
11NBOb,1,backreef,October,unknown,healthy
12NBOb2,1,backreef,October,unknown,healthy
13NBOb2,1,backreef,October,unknown,healthy
14NBOb,1,backreef,October,unknown,healthy
15NBOb,1,backreef,October,unknown,healthy
17NBOb,1,backreef,October,unknown,healthy
18NBOb,1,backreef,October,unknown,healthy
19NBOb,1,backreef,October,unknown,healthy
1NBOb,1,backreef,October,unknown,healthy
20NBOb,1,backreef,October,unknown,healthy
214Mc2,5,crest,May,resistant,healthy
215Mc,5,crest,May,resistant,healthy
216Mc2,5,crest,May,died,bleached
217Mc,5,crest,May,resistant,healthy
217Oc2,5,crest,October,resistant,healthy
218Mc2,5,crest,May,resistant,healthy
220Mc,5,crest,May,unknown,bleached
221Mc,5,crest,May,unknown,bleached
222Mc2,5,crest,May,unknown,bleached
225Mc2,5,crest,May,resistant,healthy
226Mc2,5,crest,May,resistant,healthy
226Oc2,5,crest,October,resistant,healthy
227Mc2,5,crest,May,resistant,healthy
227Oc,5,crest,October,resistant,healthy
228Mc,5,crest,May,resistant,healthy
228Oc,5,crest,October,resistant,healthy
229Mc,5,crest,May,died,bleached
22NBOb,1,backreef,October,unknown,healthy
230Mc2,5,crest,May,resistant,healthy
231Mc2,5,crest,May,resistant,healthy
231Oc2,5,crest,October,resistant,healthy
232Mc2,5,crest,May,unknown,bleached
248Mc2,5,crest,May,resistant,healthy
249Mc,5,crest,May,recovered,bleached
24NBOb,1,backreef,October,unknown,healthy
250Mc2,5,crest,May,resistant,healthy
251Mc,5,crest,May,unknown,bleached
252Mc2,5,crest,May,resistant,healthy
255Mc2,5,crest,May,resistant,healthy
255Oc,5,crest,October,resistant,healthy
256Mc2,5,crest,May,resistant,healthy
256Oc2,5,crest,October,resistant,healthy
257Mc2,5,crest,May,resistant,healthy
257Oc,5,crest,October,resistant,healthy
259Mc2,5,crest,May,resistant,healthy
259Oc,5,crest,October,resistant,healthy
25NBOb2,1,backreef,October,unknown,healthy
260Mc2,5,crest,May,resistant,healthy
262Mc2,5,crest,May,resistant,healthy
262Oc2,5,crest,October,resistant,healthy
263Oc,5,crest,October,resistant,healthy
264Mc2,5,crest,May,died,bleached
266Mc,5,crest,May,resistant,healthy
266Oc2,5,crest,October,resistant,healthy
267Mc,5,crest,May,died,bleached
268Mc2,5,crest,May,resistant,healthy
269Oc2,5,crest,October,recovered,bleached
26NBOb,1,backreef,October,unknown,healthy
270Mc,5,crest,May,resistant,healthy
270Oc,5,crest,October,resistant,healthy
271Mc,5,crest,May,resistant,healthy
271Oc,5,crest,October,resistant,healthy
272Mc2,5,crest,May,recovered,bleached
27BNMb,1,backreef,May,unknown,healthy
27NBOb2,1,backreef,October,unknown,healthy
280Mc2,5,crest,May,died,bleached
283Mc2,5,crest,May,unknown,bleached
28NBOb2,1,backreef,October,unknown,healthy
291Mc,5,crest,May,resistant,healthy
292Mc,5,crest,May,unknown,bleached
293Mc,5,crest,May,resistant,healthy
294Mc,5,crest,May,resistant,healthy
295Mc2,5,crest,May,resistant,healthy
296Mc2,5,crest,May,resistant,healthy
29BNMb2,1,backreef,May,unknown,healthy
29NBOb,1,backreef,October,unknown,healthy
2NBOb,1,backreef,October,unknown,healthy
301Af2,14,forereef,August,recovered,recovering
301Of,14,forereef,October,recovered,healthy
302Af,14,forereef,August,recovered,recovering
303Of,14,forereef,October,recovered,healthy
304Af2,14,forereef,August,recovered,recovering
304Of,14,forereef,October,recovered,healthy
305Of,14,forereef,October,recovered,healthy
306Af,14,forereef,August,recovered,recovering
307Af2,14,forereef,August,recovered,recovering
309Af2,14,forereef,August,recovered,recovering
30BNMb2,1,backreef,May,unknown,bleached
30NBOb2,1,backreef,October,unknown,healthy
310Of,14,forereef,October,recovered,healthy
311Af2,14,forereef,August,recovered,recovering
311Of,14,forereef,October,recovered,healthy
312Af,14,forereef,August,recovered,recovering
312Of,14,forereef,October,recovered,healthy
313Of,14,forereef,October,recovered,healthy
314Af,14,forereef,August,recovered,recovering
314Of,14,forereef,October,recovered,healthy
316Af,14,forereef,August,recovered,recovering
316Of2,14,forereef,October,recovered,healthy
317Af2,14,forereef,August,recovered,recovering
317Of,14,forereef,October,recovered,healthy
318Af,14,forereef,August,recovered,recovering
318Of,14,forereef,October,recovered,healthy
319Af2,14,forereef,August,recovered,recovering
319Of2,14,forereef,October,recovered,healthy
31BNMb2,1,backreef,May,unknown,bleached
320Of2,14,forereef,October,recovered,healthy
322Af,14,forereef,August,recovered,recovering
322Of2,14,forereef,October,recovered,healthy
323Af,14,forereef,August,recovered,recovering
323Of2,14,forereef,October,recovered,healthy
324Af2,14,forereef,August,recovered,recovering
324Of,14,forereef,October,recovered,healthy
33BNMb,1,backreef,May,unknown,healthy
34BNMb2,1,backreef,May,unknown,bleached
35BNMb,1,backreef,May,unknown,bleached
36BNMb,1,backreef,May,unknown,healthy
37BNMb,1,backreef,May,unknown,healthy
38BNMb,1,backreef,May,unknown,healthy
39BNMb,1,backreef,May,unknown,healthy
3NBOb,1,backreef,October,unknown,healthy
41BNMb,1,backreef,May,unknown,healthy
43BNMb2,1,backreef,May,unknown,healthy
44BNMb2,1,backreef,May,unknown,healthy
45BNMb,1,backreef,May,unknown,bleached
46BNMb,1,backreef,May,unknown,bleached
4NBOb,1,backreef,October,unknown,healthy
50BNMb,1,backreef,May,unknown,bleached
5NBOb2,1,backreef,October,unknown,healthy
6NBOb,1,backreef,October,unknown,healthy
7NBOb,1,backreef,October,unknown,healthy
8NBOb,1,backreef,October,unknown,healthy
9NBOb2,1,backreef,October,unknown,healthy