,X,Sample,depth_m,reef_zone,month,response,bleaching_status,colony_area,A1,A1ee,C1,C3ae,C3.C115.C116,D1,D6,Richness,Individual
1,Sample1,10NBOb2,1,backreef,October,unknown,healthy,42.499,909960.427,0,1688.143995,0,0,0,0,2,10N
2,Sample2,11NBOb,1,backreef,October,unknown,healthy,35.663,0,0,909960.427,0,0,0,0,1,11N
3,Sample3,12NBOb2,1,backreef,October,unknown,healthy,25.659,909960.427,0,59282953.78,0,0,65039582.86,0,3,12N
4,Sample4,13NBOb2,1,backreef,October,unknown,healthy,50.826,909960.427,0,0,0,0,0,0,1,13N
5,Sample5,14NBOb,1,backreef,October,unknown,healthy,58.598,18310.51117,0,191970.6995,128015.5776,0,571663.6387,0,4,14N
6,Sample6,15NBOb,1,backreef,October,unknown,healthy,28.002,856385.516,0,12408.85926,26792.29518,0,10850.49238,3523.26425,5,15N
7,Sample7,17NBOb,1,backreef,October,unknown,healthy,14.291,0,0,37389.6485,0,0,872570.7785,0,2,17N
8,Sample8,18NBOb,1,backreef,October,unknown,healthy,21.342,0,0,0,140272.4505,0,769687.9765,0,2,18N
9,Sample9,19NBOb,1,backreef,October,unknown,healthy,37.096,434854.4701,0,471851.4223,0,0,2057.46448,1197.070243,4,19N
10,Sample10,1NBOb,1,backreef,October,unknown,healthy,14.966,10148.57458,0,16271.83219,0,0,883540.0203,0,3,1NB
11,Sample11,20NBOb,1,backreef,October,unknown,healthy,65.723,909960.427,0,0,0,0,0,0,1,20N
12,Sample12,214Mc2,5,crest,May,resistant,healthy,148.412,909960.427,0,0,0,0,0,0,1,214
13,Sample13,215Mc,5,crest,May,resistant,healthy,679.91,909960.427,0,0,0,0,0,0,1,215
14,Sample14,216Mc2,5,crest,May,died,bleached,344.563,592532.3711,0,0,0,0,317428.0559,0,2,216
15,Sample15,217Mc,5,crest,May,resistant,healthy,733.691,909960.427,0,0,0,0,0,0,1,217
16,Sample16,217Oc2,5,crest,October,resistant,healthy,NA,909960.427,0,0,0,0,0,0,1,217
17,Sample17,218Mc2,5,crest,May,resistant,healthy,1110.921,909960.427,0,0,0,0,0,0,1,218
18,Sample18,220Mc,5,crest,May,unknown,bleached,729.5,909960.427,0,0,0,0,0,0,1,220
19,Sample19,221Mc,5,crest,May,unknown,bleached,694.065,828108.539,0,0,61539.93428,20311.95377,0,0,3,221
20,Sample20,222Mc2,5,crest,May,unknown,bleached,870.088,754478.9997,0,0,100131.4722,0,55349.95511,0,3,222
21,Sample21,225Mc2,5,crest,May,resistant,healthy,393.803,909960.427,0,0,0,0,0,0,1,225
22,Sample22,226Mc2,5,crest,May,resistant,healthy,587.599,909960.427,0,0,0,0,0,0,1,226
23,Sample23,226Oc2,5,crest,October,resistant,healthy,768.613,909960.427,0,0,0,53806.98705,0,0,2,226
24,Sample24,227Mc2,5,crest,May,resistant,healthy,10.881,909960.427,0,0,0,0,0,0,1,227
25,Sample25,227Oc,5,crest,October,resistant,healthy,15.935,909960.427,0,0,0,0,0,0,1,227
26,Sample26,228Mc,5,crest,May,resistant,healthy,660.859,909960.427,0,0,0,0,0,0,1,228
27,Sample27,228Oc,5,crest,October,resistant,healthy,914.727,909960.427,0,0,0,0,0,0,1,228
28,Sample28,229Mc,5,crest,May,died,bleached,539.265,909960.427,0,0,0,9505.759447,0,0,2,229
29,Sample29,22NBOb,1,backreef,October,unknown,healthy,40.808,909960.427,0,0,0,0,0,0,1,22N
30,Sample30,230Mc2,5,crest,May,resistant,healthy,478.061,909960.427,0,0,0,0,0,0,1,230
31,Sample31,231Mc2,5,crest,May,resistant,healthy,462.491,909960.427,0,0,0,0,0,0,1,231
32,Sample32,231Oc2,5,crest,October,resistant,healthy,435.666,909960.427,0,0,0,0,0,0,1,231
33,Sample33,232Mc2,5,crest,May,unknown,bleached,520.133,679715.683,0,0,7441.098004,27331.72536,195471.9206,0,4,232
34,Sample34,248Mc2,5,crest,May,resistant,healthy,736.285,909960.427,0,0,0,0,0,0,1,248
35,Sample35,249Mc,5,crest,May,recovered,bleached,1405.945,909960.427,0,0,8962097.32,0,0,0,2,249
36,Sample36,24NBOb,1,backreef,October,unknown,healthy,85.853,909960.427,0,0,0,0,178228.9368,0,2,24N
37,Sample37,250Mc2,5,crest,May,resistant,healthy,219.717,909960.427,0,0,0,7758.149665,0,0,2,250
38,Sample38,251Mc,5,crest,May,unknown,bleached,282.73,687446.1104,0,0,17984.00427,0,204530.3123,0,3,251
39,Sample39,252Mc2,5,crest,May,resistant,healthy,691.556,909960.427,0,0,0,0,0,0,1,252
40,Sample40,255Mc2,5,crest,May,resistant,healthy,102.271,909960.427,0,0,0,0,0,0,1,255
41,Sample41,255Oc,5,crest,October,resistant,healthy,100.124,909960.427,0,0,0,0,0,0,1,255
42,Sample42,256Mc2,5,crest,May,resistant,healthy,392.613,909960.427,0,0,0,0,0,0,1,256
43,Sample43,256Oc2,5,crest,October,resistant,healthy,504.527,909960.427,0,0,0,18405.51208,0,0,2,256
44,Sample44,257Mc2,5,crest,May,resistant,healthy,31.514,909960.427,0,0,0,0,0,0,1,257
45,Sample45,257Oc,5,crest,October,resistant,healthy,24.82,909960.427,0,0,0,0,0,0,1,257
46,Sample46,259Mc2,5,crest,May,resistant,healthy,807.461,909960.427,0,0,0,1659.167234,0,0,2,259
47,Sample47,259Oc,5,crest,October,resistant,healthy,646.493,909960.427,0,0,0,0,0,0,1,259
48,Sample48,25NBOb2,1,backreef,October,unknown,healthy,25.107,0,0,0,0,0,909960.427,0,1,25N
49,Sample49,260Mc2,5,crest,May,resistant,healthy,858.381,909960.427,0,0,0,0,0,0,1,260
50,Sample50,262Mc2,5,crest,May,resistant,healthy,574.007,909960.427,0,0,0,0,0,0,1,262
51,Sample51,262Oc2,5,crest,October,resistant,healthy,626.124,909960.427,0,0,0,0,0,0,1,262
52,Sample52,263Oc,5,crest,October,resistant,healthy,91.951,909960.427,0,0,0,0,0,0,1,263
53,Sample53,264Mc2,5,crest,May,died,bleached,902.541,860635.4138,0,0,0,0,49325.0132,0,2,264
54,Sample54,266Mc,5,crest,May,resistant,healthy,1020.12,909960.427,0,0,0,0,0,0,1,266
55,Sample55,266Oc2,5,crest,October,resistant,healthy,889.844,909960.427,0,0,0,0,0,0,1,266
56,Sample56,267Mc,5,crest,May,died,bleached,681.307,821755.9922,0,0,88204.43482,0,0,0,2,267
57,Sample57,268Mc2,5,crest,May,resistant,healthy,767.419,909960.427,0,0,0,0,0,0,1,268
58,Sample58,269Oc2,5,crest,October,recovered,bleached,148.983,0,0,0,909960.427,0,0,0,1,269
59,Sample59,26NBOb,1,backreef,October,unknown,healthy,32.089,909960.427,0,3546.901797,0,0,0,0,2,26N
60,Sample60,270Mc,5,crest,May,resistant,healthy,1000.867,909960.427,0,0,0,0,0,0,1,270
61,Sample61,270Oc,5,crest,October,resistant,healthy,783.002,909960.427,0,0,0,0,0,0,1,270
62,Sample62,271Mc,5,crest,May,resistant,healthy,766.575,909960.427,0,0,0,0,0,0,1,271
63,Sample63,271Oc,5,crest,October,resistant,healthy,583.905,909960.427,0,0,0,0,0,0,1,271
64,Sample64,272Mc2,5,crest,May,recovered,bleached,778.126,909960.427,0,17718.9228,0,0,28995.43643,0,3,272
65,Sample65,27BNMb,1,backreef,May,unknown,healthy,229.225,87417.20619,822543.2208,0,0,0,0,0,2,27B
66,Sample66,27NBOb2,1,backreef,October,unknown,healthy,26.969,0,0,706308.5014,203651.9256,0,0,0,2,27N
67,Sample67,280Mc2,5,crest,May,died,bleached,52.402,909960.427,0,0,50002.11364,12430.84876,402636.8638,0,4,280
68,Sample68,283Mc2,5,crest,May,unknown,bleached,676.955,723031.7386,0,0,0,0,186928.6885,0,2,283
69,Sample69,28NBOb2,1,backreef,October,unknown,healthy,42.597,2891.246871,0,907069.1802,0,0,0,0,2,28N
70,Sample70,291Mc,5,crest,May,resistant,healthy,647.719,909960.427,0,0,0,0,0,0,1,291
71,Sample71,292Mc,5,crest,May,unknown,bleached,711.733,681088.6369,0,19181.0165,209690.7736,0,0,0,3,292
72,Sample72,293Mc,5,crest,May,resistant,healthy,28.071,909960.427,0,0,0,0,0,0,1,293
73,Sample73,294Mc,5,crest,May,resistant,healthy,358.183,909960.427,0,0,0,0,0,0,1,294
74,Sample74,295Mc2,5,crest,May,resistant,healthy,35.68,909960.427,0,0,10677.20784,1079.33387,0,0,3,295
75,Sample75,296Mc2,5,crest,May,resistant,healthy,34.764,909960.427,0,0,0,0,0,0,1,296
76,Sample76,29BNMb2,1,backreef,May,unknown,healthy,129.644,909960.427,0,0,0,0,0,0,1,29B
77,Sample77,29NBOb,1,backreef,October,unknown,healthy,25.388,0,0,909960.427,0,0,0,0,1,29N
78,Sample78,2NBOb,1,backreef,October,unknown,healthy,48.355,0,0,909960.427,0,0,0,0,1,2NB
79,Sample79,301Af2,14,forereef,August,recovered,recovering,565.692,909960.427,0,0,55695491.23,0,0,0,2,301
80,Sample80,301Of,14,forereef,October,recovered,healthy,278.823,0,0,0,909960.427,0,0,0,1,301
81,Sample81,302Af,14,forereef,August,recovered,recovering,121.177,0,0,0,909960.427,0,0,0,1,302
82,Sample82,303Of,14,forereef,October,recovered,healthy,204.788,0,0,0,909960.427,0,0,0,1,303
83,Sample83,304Af2,14,forereef,August,recovered,recovering,187.48,0,0,0,908439.3439,0,1521.083131,0,2,304
84,Sample84,304Of,14,forereef,October,recovered,healthy,252.797,0,0,0,909960.427,0,0,0,1,304
85,Sample85,305Of,14,forereef,October,recovered,healthy,238.44,0,0,0,909960.427,0,0,0,1,305
86,Sample86,306Af,14,forereef,August,recovered,recovering,169.176,0,0,0,909960.427,0,0,0,1,306
87,Sample87,307Af2,14,forereef,August,recovered,recovering,211.827,0,0,0,909960.427,0,0,0,1,307
88,Sample88,309Af2,14,forereef,August,recovered,recovering,NA,0,0,0,909960.427,0,0,0,1,309
89,Sample89,30BNMb2,1,backreef,May,unknown,bleached,78.543,0,0,909960.427,0,0,0,0,1,30B
90,Sample90,30NBOb2,1,backreef,October,unknown,healthy,1298.875,909960.427,0,0,0,0,0,0,1,30N
91,Sample91,310Of,14,forereef,October,recovered,healthy,461.085,0,0,0,909960.427,0,0,0,1,310
92,Sample92,311Af2,14,forereef,August,recovered,recovering,200.722,0,0,0,909960.427,0,0,0,1,311
93,Sample93,311Of,14,forereef,October,recovered,healthy,NA,0,0,0,909960.427,0,0,0,1,311
94,Sample94,312Af,14,forereef,August,recovered,recovering,297.615,0,0,0,909960.427,0,0,0,1,312
95,Sample95,312Of,14,forereef,October,recovered,healthy,301.117,0,0,0,909960.427,0,0,0,1,312
96,Sample96,313Of,14,forereef,October,recovered,healthy,120.359,0,0,0,909960.427,0,0,0,1,313
97,Sample97,314Af,14,forereef,August,recovered,recovering,409.64,7970.726902,0,0,901989.7001,0,0,0,2,314
98,Sample98,314Of,14,forereef,October,recovered,healthy,391.553,0,0,0,909960.427,0,0,0,1,314
99,Sample99,316Af,14,forereef,August,recovered,recovering,369.336,0,0,0,909960.427,0,0,0,1,316
100,Sample100,316Of2,14,forereef,October,recovered,healthy,153.496,0,0,0,909960.427,0,0,0,1,316
101,Sample101,317Af2,14,forereef,August,recovered,recovering,483.202,45821.11899,0,0,800107.2315,0,64032.07653,0,3,317
102,Sample102,317Of,14,forereef,October,recovered,healthy,432.864,0,0,0,909960.427,0,0,0,1,317
103,Sample103,318Af,14,forereef,August,recovered,recovering,158.202,0,0,0,909960.427,0,0,0,1,318
104,Sample104,318Of,14,forereef,October,recovered,healthy,139.517,0,0,0,909960.427,0,0,0,1,318
105,Sample105,319Af2,14,forereef,August,recovered,recovering,50.111,0,0,0,9641.318839,0,900319.1082,0,2,319
106,Sample106,319Of2,14,forereef,October,recovered,healthy,70.039,0,0,0,108365.0352,0,801595.3918,0,2,319
107,Sample107,31BNMb2,1,backreef,May,unknown,bleached,444.081,76016.02759,0,325267.1992,103717.896,0,404959.3042,0,4,31B
108,Sample108,320Of2,14,forereef,October,recovered,healthy,216.533,0,0,0,909960.427,0,0,0,1,320
109,Sample109,322Af,14,forereef,August,recovered,recovering,77.652,0,0,0,909960.427,0,0,0,1,322
110,Sample110,322Of2,14,forereef,October,recovered,healthy,NA,0,0,0,909960.427,0,0,0,1,322
111,Sample111,323Af,14,forereef,August,recovered,recovering,828.104,0,0,0,909960.427,0,0,0,1,323
112,Sample112,323Of2,14,forereef,October,recovered,healthy,NA,0,0,0,909960.427,0,0,0,1,323
113,Sample113,324Af2,14,forereef,August,recovered,recovering,184.881,0,0,0,11030.28281,0,898930.1442,0,2,324
114,Sample114,324Of,14,forereef,October,recovered,healthy,NA,0,0,0,909960.427,0,0,0,1,324
115,Sample115,33BNMb,1,backreef,May,unknown,healthy,14.749,909960.427,0,0,0,0,0,0,1,33B
116,Sample116,34BNMb2,1,backreef,May,unknown,bleached,155.111,140451.3052,0,140502.5648,0,0,550323.0703,78683.48668,4,34B
117,Sample117,35BNMb,1,backreef,May,unknown,bleached,191.739,909960.427,0,49862.89107,0,0,99261.16951,0,3,35B
118,Sample118,36BNMb,1,backreef,May,unknown,healthy,77.672,905876.2723,0,4084.154754,0,0,0,0,2,36B
119,Sample119,37BNMb,1,backreef,May,unknown,healthy,9.105,0,0,393546.2001,0,0,516414.2269,0,2,37B
120,Sample120,38BNMb,1,backreef,May,unknown,healthy,18.256,5204.188135,0,30310.33012,0,0,874445.9088,0,3,38B
121,Sample121,39BNMb,1,backreef,May,unknown,healthy,332.587,909960.427,0,4484.41027,0,0,0,0,2,39B
122,Sample122,3NBOb,1,backreef,October,unknown,healthy,24.334,5916.660212,0,5788.831133,0,0,898254.9357,0,3,3NB
123,Sample123,41BNMb,1,backreef,May,unknown,healthy,17.979,0,0,670818.4035,0,0,239142.0235,0,2,41B
124,Sample124,43BNMb2,1,backreef,May,unknown,healthy,23.041,4797.970028,0,290608.8238,0,0,614553.6332,0,3,43B
125,Sample125,44BNMb2,1,backreef,May,unknown,healthy,17.833,9237.461999,0,254879.3887,0,0,645843.5763,0,3,44B
126,Sample126,45BNMb,1,backreef,May,unknown,bleached,106.491,909960.427,0,37253.80559,43353.70726,8063.088412,0,216511.4523,5,45B
127,Sample127,46BNMb,1,backreef,May,unknown,bleached,161.391,909960.427,0,0,0,0,0,0,1,46B
128,Sample128,4NBOb,1,backreef,October,unknown,healthy,7.954,0,0,18917.65429,0,37139.6645,853903.1082,0,3,4NB
129,Sample129,50BNMb,1,backreef,May,unknown,bleached,73.807,119664.1352,0,0,662000.2425,0,128296.0494,0,3,50B
130,Sample130,5NBOb2,1,backreef,October,unknown,healthy,14.093,1828.619712,0,908131.8073,0,0,0,0,2,5NB
131,Sample131,6NBOb,1,backreef,October,unknown,healthy,20.338,895498.3615,0,14462.06557,0,0,0,0,2,6NB
132,Sample132,7NBOb,1,backreef,October,unknown,healthy,16.045,0,0,13499.61468,0,0,896460.8123,0,2,7NB
133,Sample133,8NBOb,1,backreef,October,unknown,healthy,14.496,0,0,0,200921.3587,0,709039.0683,0,2,8NB
134,Sample134,9NBOb2,1,backreef,October,unknown,healthy,16.108,10686.19595,0,899274.2311,0,0,0,0,2,9NB