"","Sample","depth_m","reef_zone","month","response","bleaching_status","clade_A","clade_C","clade_D","A1","3040_A","A1ee","3042_A","3112_A","3041_A","3113_A","A1cl","3070_A","3132_A","A1bv","3188_A","3139_A","3311_A","2964_A","3071_A","3241_A","A1z","C3ae","C1","C3","C3f","C3g","C3bj","C1c","C21","C3p","C21.12","3043_C","C3.10","C3h","C1b","C3k","C50f","C3cv","3045_C","1855_C","3050_C","3046_C","C3j","3049_C","3054_C","2460_C","C3ch","3056_C","C3.11","C1al","3048_C","C3cp","C42.2","1752_C","C3b","3055_C","3057_C","3018_C","3058_C","C3ba","C72k","C3.9","3064_C","C1bh","3020_C","3051_C","3047_C","3025_C","3059_C","3044_C","3052_C","C1br","3053_C","C1w","C116","3063_C","3028_C","3066_C","3061_C","3027_C","3060_C","3069_C","3067_C","3062_C","C1cb","1482_C","3023_C","3065_C","3138_C","1534_C","3068_C","3086_C","C3v","3084_C","C3cg","3104_C","3097_C","3029_C","C1n","C1h","D1","D6","D4","D2d","D1d","D2.2","D1b","D6c","D2","3030_D","3074_D","D1u","3031_D","3033_D","3034_D","3098_D","3032_D","3035_D","3079_D","D4d","3076_D","3172_D","3108_D","D4c","3173_D","3087_D","3174_D","3015_D","3169_D","D2c","3124_D","3192_D"
"1","10NBOb2",1,"backreef","October","unknown","healthy",4632.76933105263,5.70703468318077,12.4211931339817,48480.9239256981,2694.72749422894,2379.83346288638,550.560992965674,0,0,0,0,1041.70168364176,0,0,0,0,0,0,345.779160216247,0,0,0,100.376668839474,5.70703468318077,0,0,0,23.1638466552631,0,0,0,0,0,0,7.72128221842104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34995545778032,0,0,0,0,0,0,0,4.02849507048054,0,0,6.37845052826086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67853961270023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.492430810183,5.70703468318077,4.69991091556063,7.04986637334095,1.67853961270023,1.67853961270023,0,0,0,0,2.68566338032036,0,0,0,0,0,0,0,1.34283169016018,0,2.01424753524027,0,0,0,0,0,0,0,0,0,0,0
"2","11NBOb",1,"backreef","October","unknown","healthy",2518.36982634083,1001303.84295311,0,46338.0048046712,2518.36982634083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15374144.1158455,419560.413068382,0,0,0,1752281.72516795,0,0,0,0,0,0,1488356.56736743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158657.299059472,0,0,849194.305442127,0,0,0,0,0,0,0,457839.634428763,0,0,530368.685427379,0,0,0,265436.179696323,0,0,0,380273.843777465,0,244785.547120329,0,0,164701.38664269,0,0,217083.479030579,0,0,0,0,301197.031230363,0,0,0,122392.773560164,0,0,0,0,0,0,0,0,100734.793053633,0,0,9569.80534009515,4029.39172214533,4533.06568741349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","12NBOb2",1,"backreef","October","unknown","healthy",4355.3461525486,56619.4999831317,161929.536440909,27248.832339022,2456.8619322069,1005.07988135737,781.728796611286,0,0,0,0,1116.75542373041,0,0,0,0,0,0,0,0,0,0,1457812.53013768,23451.8638983386,0,0,0,390529.371678524,0,0,0,0,0,0,108436.951644223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94924.2110170848,0,0,82081.5236441851,0,0,0,0,0,0,0,29705.6942712289,0,0,63766.7346950064,0,0,0,25126.9970339342,0,0,0,34954.4447627618,0,13401.0650847649,0,0,16081.2781017179,0,0,0,0,0,0,0,24456.943779696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,803170.50074691,592327.076746609,466133.713865073,0,183371.240576533,118264.39937305,87665.3007628371,72254.0759153575,49360.5897288841,16863.0068983292,0,0,0,35624.498017,36629.5778983574,0,22893.4861864734,25126.9970339342,0,35401.146932254,0,0,0,22893.4861864734,0,0,0,0,0,0,0,0
"4","13NBOb2",1,"backreef","October","unknown","healthy",6710.86190664654,6.82431616285399,13.648632325708,104499.047322742,3984.54759958637,2863.6536698376,1475.75837021717,0,1250.55593684299,0,0,0,0,0,0,0,0,0,0,0,0,0,102.36474244281,0,0,0,0,21.3259880089187,0,0,0,0,0,0,11.0895137646377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.97127664249724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.67735568321074,0,0,0,0,0,3.41215808142699,0,0,0,0,0,0,0,0,3.41215808142699,0,0,0,0,0,3.41215808142699,0,0,0,0,0,5.97127664249724,13.648632325708,4.26519760178374,6.82431616285399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.11823712214049,4.26519760178374,0,0,0,0,0,0,0,0,0
"5","14NBOb",1,"backreef","October","unknown","healthy",15173.6432627592,499285.118788886,1345757.64651852,376812.141025186,0,0,0,3612.77220541885,0,2528.9405437932,0,0,6502.98996975394,0,0,0,0,0,0,0,0,1169815.64011462,3106984.09666021,710632.292805889,387289.180420901,0,253977.886040945,537219.226945784,116331.265014487,112718.492809068,71894.1668878352,98267.4039873928,78758.434078131,0,214237.391781338,57081.8008456179,0,81287.3746219242,41908.1575828587,0,0,50578.810875864,0,40824.3259212331,0,0,0,40463.0487006912,41185.6031417749,92125.6912381808,0,0,101157.621751728,0,0,0,0,0,0,0,111995.938367984,0,36850.2764952723,70449.0580056677,40101.7714801493,0,0,47688.5931115289,0,0,0,53469.028640199,0,0,0,0,57804.3552867017,0,0,0,0,0,44798.3753471938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4288360.60783218,3000046.03937982,2505818.80167852,0,927759.902351562,743508.5198752,298776.261388139,307446.914681144,190393.095225574,391263.229846862,0,0,281796.232022671,158961.97703843,175580.729183356,0,135117.680482665,138007.898247,0,76229.4935343378,0,0,0,102602.730633895,0,65029.8996975394,0,0,0,0,0,0
"6","15NBOb",1,"backreef","October","unknown","healthy",8392903.46085114,713413.488715765,408459.828952708,98471094.8948768,0,0,0,1835286.80638424,0,1660550.58527913,0,0,2434064.43029856,0,0,0,0,2463001.63888922,0,0,0,623262.954260263,1426826.97743153,812467.7796607,435171.098421005,914860.979289171,95715.3822613975,149137.921197991,199221.551451048,0,40066.9042024455,53422.5389365939,27824.239029476,0,204786.399256943,36727.9955189083,0,0,0,73455.9910378167,0,32276.1172741922,0,0,0,0,0,27824.239029476,73455.9910378167,0,34502.0563965503,0,99054.2909449346,0,0,119087.743046157,0,25598.2999071179,0,0,0,0,33389.0868353712,191430.764522795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31163.1477130131,0,0,0,25598.2999071179,79020.8388437119,0,0,0,0,0,0,0,0,0,0,0,28937.2085906551,0,0,1021706.05716236,405120.920269171,390652.315973843,225932.820919345,121313.682168515,219255.003552271,0,63439.2649872053,42292.8433248035,15581.5738565066,32276.1172741922,0,70117.0823542796,36727.9955189083,34502.0563965503,0,0,20033.4521012227,27824.239029476,50083.6302530568,33389.0868353712,0,0,0,0,0,0,0,0,0,0,0
"7","17NBOb",1,"backreef","October","unknown","healthy",0,3579.93007481064,269265.817473065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82558.6951098638,1817.50296105771,0,0,0,10739.7902244319,0,0,0,0,0,0,4406.06778438232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1266.74448800992,0,0,2258.10973949594,0,0,0,0,0,0,0,2863.94405984851,0,0,1542.12372453381,0,0,0,0,0,0,0,0,0,0,0,0,1156.59279340036,0,0,1156.59279340036,0,0,0,0,881.213556876465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,877413.323412435,537540.269694643,499758.238443565,0,191939.327857155,123094.518726181,79970.1302865392,56342.591792789,28364.0613619612,40095.2168378791,0,0,32825.2049936483,33265.8117720865,25830.5723859414,0,26436.4067062939,27152.3927212561,0,26766.8617901226,0,0,0,0,0,25445.0414548079,0,0,0,24343.5245087123,0,19662.0774878061
"8","18NBOb",1,"backreef","October","unknown","healthy",0,986399.382892187,3100820.4577781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2509547.31727919,300239.295295253,560116.232496569,526126.8783122,0,337769.20720716,36821.800366399,114714.070372243,104092.397189628,65146.2621867058,101259.951007597,84265.273915413,72935.4891872902,0,93470.7240070127,41070.469639445,46735.3620035064,47443.473549014,77892.2700058439,51692.1428220601,65146.2621867058,32573.1310933529,33989.3541843683,62313.8160046751,39654.2465484296,159325.097739226,62313.8160046751,36113.6888208913,0,31156.9080023376,49567.808185537,0,55232.7005495984,51692.1428220601,0,35405.5772753836,0,0,83557.1623699053,0,38238.0234574143,46735.3620035064,0,38946.135002922,40362.3580939373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37529.9119119066,0,0,0,0,0,0,0,0,0,0,0,0,29740.6849113222,0,0,0,0,8521414.33863933,6123748.64555035,5181252.17847964,0,1647775.56639635,900717.885885759,654295.068049089,562948.678678599,500634.862673924,800166.046423669,0,0,463813.062307525,492137.524127832,465229.285398541,0,424866.927304603,272622.945020454,0,215974.02137984,0,0,0,230844.363835501,0,181984.667195472,0,0,0,0,0,0
"9","19NBOb",1,"backreef","October","unknown","healthy",15289.7187686802,19304.4939622861,727.415714520924,325224.768209557,0,0,0,3133.48307793629,0,3147.47184167708,0,0,9008.76384906683,0,0,0,0,0,0,0,0,0,272067.465994566,8994.77508532604,0,0,0,47869.5495209731,0,0,0,0,0,0,24158.5949803392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8798.93239295502,0,0,12841.6851140425,0,0,0,0,0,0,0,8085.50544217489,0,0,9638.25821740225,0,0,0,3553.1459901599,0,0,0,6588.70772191068,0,5623.48302379638,0,0,3441.2358802336,0,0,3147.47184167708,0,0,0,0,5399.66280394378,0,0,0,3259.38195160337,0,0,0,0,0,0,0,2056.34826989569,0,0,0,1244.99997293004,895.280879410368,783.370769484072,293.764038556527,181.853928630231,139.88763740787,0,0,97.921346185509,97.921346185509,0,0,293.764038556527,0,97.921346185509,0,111.910109926296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","1NBOb",1,"backreef","October","unknown","healthy",913.156970236372,2282.89242559093,111690.511922036,33958.0248306651,0,0,0,0,0,0,0,0,513.650795757959,0,0,0,0,0,0,0,0,0,42290.582184072,1483.8800766341,0,0,0,9017.42508108417,0,0,0,0,0,0,1712.1693191932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1426.80776599433,0,0,627.795417037506,0,0,0,0,0,0,0,1369.73545535456,0,0,913.156970236372,0,0,0,684.867727677279,0,0,0,0,0,456.578485118186,0,0,0,0,0,0,0,0,0,0,1084.37390215569,0,0,0,0,0,0,0,0,0,0,0,0,285.361553198866,0,0,2520370.31016303,51022.6457119573,328508.220042535,0,20260.6702771195,48454.3917331675,0,0,88462.0814916486,0,0,107524.233245333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22429.4180814309,0,0,0
"11","20NBOb",1,"backreef","October","unknown","healthy",4879.81837016515,0,0,42862.2916647922,3898.68630950882,1008.69678931393,304.073413004112,0,677.058647652216,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44559108219957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.30698885274947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","213Mc",5,"crest","May","resistant","healthy",3064.8560270937,0,0,0,0,0,0,1809.95434670888,0,1254.90168038482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","214Mc2",5,"crest","May","resistant","healthy",3423.60785651546,0,0,42909.6722268237,2358.03165376965,1719.74470194746,598.961215453998,0,0,0,0,466.614987291814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78132080463382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","215Mc",5,"crest","May","resistant","healthy",8571.0323989074,1.97239268183348,0,71785.8480280427,6861.70759101346,1486.32116030414,750.125591809796,0,959.199216084145,0,0,0,0,0,0,0,0,0,0,0,0,0.986196340916741,0,0.493098170458371,1.84911813921889,0.986196340916741,1.10947088353133,0,0,0,0,0,0,0,0,0,0,0,0,0,0.739647255687556,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09566722444807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","216Mc2",5,"crest","May","died","bleached",0,0,345.298384183888,5206.03717692632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.087777923953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1819.45687050741,0,0,969.491617131686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239.052727511923,0,0,0,0,0,0,0,0,0
"16","217Mc",5,"crest","May","resistant","healthy",2912.14759029607,0,0,43343.5920416159,1710.93126480063,1732.31790561063,466.941657685171,0,734.274667810269,0,0,0,0,217.43084823508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","217Oc2",5,"crest","October","resistant","healthy",6678.8285442833,8.98749005118022,0,101046.350645419,3937.64407867333,3956.74249503209,1289.70482234436,0,1451.47964326561,0,0,0,0,0,0,0,0,0,0,0,0,24.7155976407456,0,5.61718128198764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.49374502559011,0,0,0,0,0,0,0,0,0,0,4.49374502559011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","218Mc2",5,"crest","May","resistant","healthy",3224.9284033877,0,0,50046.1111488684,2219.10278049875,1263.56843875425,383.471018726413,0,622.354604162539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","219Mc2",5,"crest","May","unknown","bleached",1405.13797113821,3134.53855100061,9727.87826172604,0,0,0,1405.13797113821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432.350144965602,0,1080.875362414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4647.76405838022,648.525217448403,2053.66318858661,1080.875362414,0,0,0,0,0,0,3026.45101475921,0,0,0,0,0,0,0,0,0,972.787826172604,864.700289931204,0,0,0,0,0,0,0,0,0,0
"20","220Mc",5,"crest","May","unknown","bleached",5459.32930678205,0,0,45965.594677444,4318.97751477617,1743.62865989452,0,0,496.048367413843,0,0,0,0,0,0,0,0,0,0,644.303424592041,0,11.1890609191092,0,0,4.66210871629552,0,0,0,0,3.72968697303641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","221Mc",5,"crest","May","unknown","bleached",76256.2521903375,61017.4925388696,0,360151.013620759,66950.6161736624,29519.8923303027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33933.3035954819,0,0,13781.5012148522,0,11200.0719842756,0,0,0,0,0,0,0,0,0,0,0,30206.8855932787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15155.4877408042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.361798993458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","222Mc2",5,"crest","May","unknown","bleached",669504.350073788,736454.785081166,364987.855362807,9096620.39519611,283999.425918397,0,76669.0465407079,0,222448.219540646,0,0,0,0,0,0,0,0,0,42113.9833110931,0,0,390904.152785018,0,267801.740029515,138220.252918459,254843.591318409,84227.9666221862,0,71269.8179110806,0,16197.685888882,114463.646948099,73429.5093629316,56151.9777481241,0,24836.4516962857,0,0,91786.8867036644,134980.715740683,0,0,0,0,0,28075.9888740621,0,0,0,0,0,0,0,0,0,77748.8922666334,0,0,31315.5260518385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450295.667710918,0,0,153338.093081416,0,0,0,0,0,0,0,0,0,0,0,63710.8978296024,0,0,75589.2008147825,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","225Mc2",5,"crest","May","resistant","healthy",4041.35770898515,0,0,43116.7147812453,2946.75380432195,866.839525110563,521.438597876903,0,573.165306786291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5087158094274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","226Mc2",5,"crest","May","resistant","healthy",2886.18501726443,0,0,43935.737267763,1966.0349424534,1625.97948002323,505.796780253272,0,0,0,0,414.353294557765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14402231996147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.57282678395376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","226Oc2",5,"crest","October","resistant","healthy",3458.6112679761,1271.74881994784,0,43444.0307339821,2328.01633849968,1567.69465794106,518.2461679144,0,612.348761562014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2829.89683795363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72761141007579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","227Mc2",5,"crest","May","resistant","healthy",3219.47259098986,0,0,44283.058758128,2276.33765871568,1028.87447157182,355.206662804558,0,587.928269469614,0,0,0,0,0,0,0,0,0,0,0,0,3.76877095813855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","227Oc",5,"crest","October","resistant","healthy",3468.03060333024,0,0,43850.6115444316,2363.49810720667,1210.28560745455,410.422789213089,0,694.109706910481,0,0,0,0,0,0,0,0,0,0,0,0,8.39310407388731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","228Mc",5,"crest","May","resistant","healthy",6165.50605331628,0,0,41043.5558892281,5268.23906011017,965.630192688482,346.0886973795,0,551.178295826611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","228Oc",5,"crest","October","resistant","healthy",7318.65130983296,0,0,43886.5545634671,6177.75301095599,1014.13182122397,414.103826999786,0,726.794471877176,0,0,0,0,219.728561265193,0,0,0,0,0,0,0,0,0,59.157689571398,50.7065910611983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","229Mc",5,"crest","May","died","bleached",5911.06691962987,751.088553955511,0,63782.440001902,2779.02764963539,1487.15533683191,3132.03926999448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.152397553772,743.577668415956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.597969855996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
